Nom d'usage;PS / THALES : AL
magasin;thales
ABBEVILLE -CORDELIER;FRPA01
AIGUEPERSE -CLERMONT;FRPALP
AIRAINES -HYPER;FRPW98
AIRE S/L'ADOUR;FRPAH1
AIX LES B -VERLAINE;FRPD83
AIX NOULETTE;FRPD84
AJACCIO -ALBERT 1ER;FRPA07
ALBERTVILLE -DE GAUL;FRPD85
ALBERTVILLE -P DU RO;FRPD86
ALENCON -PAPIN;FRPD87
ALENCON -QUAKENBRUCK;FRPAGG
AMBERIEU EN BUGEY;FRPD89
AMBERT;FRPD90
AMBON 2;FRPAMP
AMENDEUIX ONEIX;FRPCGM
AMIENS;FRPD92
AMPLEPUIS;FRPA11
ANNECY LE VIEUX;FRPD96
ANNEMASSE -FLORISSAN;FRPAN6
ANNEMASSE -PERRIER;FRPD98
ANNOEULLIN;FRPA13
ANSE;FRPAH8
ANTIBES -GRASSE;FRPE01
ANTIBES -PASTEUR;FRPA14
ANZIN -VALMONT;FRPAIX
ARCIS S/AUBE;FRPE02
ARDRES;FRPATB
ARGELES GAZOST -STAD;FRPZ81
ARGENTAN -CHAMPAGNE;FRPE05
ARGENTON S/CREUSE;FRPE06
ARQUES -FRAIS FONDS;FRPCC1
ARRAS -ROSATI;FRPE09
ARUDY;FRPCGN
ASNIERES -2;FRPA18
AUBENAS;FRPE12
AUBIGNY AU BAC;FRPE15
AUBIGNY EN ARTOIS;FRPE16
AUBIGNY S/NERE 2;FRPADR
AUBUSSON;FRPE17
AUCHEL -ALLOUAGNE;FRPE18
AUCHEL -GANDHI;FRPE19
AUDENGE;FRPASY
AUDRUICQ;FRPE20
AUDUN LE TICHE;FRPA19
AUNEUIL;FRPCGS
AURAY;FRPE22
AUSSONNE;FRPA20
AUTERIVE INT;FRPJA1
AUTREVILLE;FRPCG2
AUXERRE;FRPE24
AVESNES LE COMTE;FRPE26
AVESNES LES AUBERT;FRPA22
AVESNES S/HELPE;FRPE25
AVION;FRPE27
AVON;FRPE28
AVRANCHES;FRPAKQ
AVRILLE -MENDESFRANC;FRPCD2
AYTRE;FRPASF
AZAY LE RIDEAU;FRPAHZ
BADEN;FRPCD9
BAGNERES DE BIGORRE;FRPA27
BAGNOLS S/CEZE -NIME;FRPAIZ
BAILLY EN ROMAINVILL;FRPE35
BAISIEUX;FRPE36
BALBIGNY;FRPA28
BALLANCOURT;FRPW93
BANDOL -LA GARDUERE;FRPA29
BANYULS;FRPA30
BAPAUME;FRPE38
BAR S/AUBE;FRPE39
BARAQUEVILLE;FRPYCF
BARCELONNETTE;FRPA31
BARLIN -VERTE PLAINE;FRPYBD
BARNEVILLE CARTERET;FRPA32
BAUD 2;FRPCC4
BAUVIN;FRPASO
BAVAY;FRPA33
BAYONNE -ALSACE;FRPCGO
BAYONNE -MARRACQ;FRPCGP
BEAUMONT;FRPE47
BEAUMONT LE ROGER;FRPA35
BEAURAINS -BOREAL;FRPAMK
BEAURAINVILLE;FRPBBG
BEAUREPAIRE;FRPW80
BEAUTIRAN;FRPCH3
BEAUZELLE;FRPAGD
BEDARIEUX;FRPYBZ
BELFORT 2;FRPBBH
BELLAC 2;FRPADQ
BELLEGARDE (30);FRPA39
BELLEGARDE S/V -TASS;FRPCFF
BELLEGARDE S/VAL-REP;FRPE52
BELLEME;FRPK54
BELLEVILLE (69);FRPE53
BELLEY -PROVENCIA;FRPE55
BENODET;FRPA41
BERCK -SOUBITEZ;FRPE56
BERGERAC;FRPE57
BERGERAC -ALVERE;FRPCEP
BERNAY;FRPAKR
BERRE L'ETANG;FRPCDL
BESSEGES;FRPA43
BETHISY ST PIERRE;FRPBBA
BETHUNE -BAR;FRPAHJ
BETHUNE -LILLE 655;FRPCDA
BETTON LA LEVEE;FRPE64
BEUVRY;FRPE65
BEUZEVILLE;FRPA44
BIHOREL;FRPAKS
BLAGNY;FRPBBI
BLAINVILLE S/MER;FRPE70
BLERE -TOURS;FRPCDG
BLOIS -CHAVY;FRPE73
BLOIS -QUINIERE;FRPE74
BOHAIN;FRPA47
BOIS GUILLAUME -BOCQ;FRPE75
BOIS GUILLAUME -MAIR;FRPE76
BOISMONT;FRPASP
BONDUES -RN;FRPE78
BONNEVAL -LOUVETERIE;FRPCIP
BONNEVILLE -BORDETS;FRPAKH
BORDEAUX -BASTIDE;FRPZ99
BORDEAUX -DELATTRE;FRPE81
BORDEAUX -FERRY;FRPA48
BORDEAUX -GDS HOMMES;FRPE82
BORDEAUX -ST JEAN;FRPE83
BORDEAUX -V.HUGO;FRPA49
BORGO;FRPE84
BORT LES ORGUES;FRPA50
BOSC LE HARD;FRPE85
BOUCHAIN;FRPA51
BOULOGNE -NORD;FRPCG5
BOULOGNE -SUD;FRPCG6
BOULOGNE BILLANCOURT;FRPE89
BOULOGNE S/M -LIANE;FRPE88
BOURBON L'ARCHAMBAUL;FRPE90
BOURBONNE;FRPA52
BOURBOURG;FRPE91
BOURG ACHARD;FRPA54
BOURG EN BR -MARBOZ;FRPE95
BOURG EN BR -SAMARIT;FRPAFX
BOURG LA REINE;FRPA56
BOURG MADAME;FRPA57
BOURG S/GIRONDE;FRPA53
BOURGANEUF;FRPE94
BOURGES -AEROPORT;FRPE96
BOURGES -DUN;FRPAGA
BOURGES -GIBJONCS;FRPE98
BOURISP;FRPBC1
BOUSSAC -BOURBONNAIS;FRPF03
BRAINE;FRPA58
BRAM;FRPA59
BRANNE -GREZILLAC;FRPARW
BRANTOME;FRPAP2
